aX,aY,aZ,gX,gY,gZ
-0.570,0.923,-0.063,-14.140,2.940,114.870
-0.560,0.927,-0.058,-14.840,3.150,118.580
-0.549,0.931,-0.054,-15.330,3.360,121.870
-0.540,0.945,-0.048,-15.960,3.220,125.440
-0.529,0.960,-0.051,-16.660,3.290,128.660
-0.519,0.964,-0.056,-17.360,3.220,132.020
-0.506,0.965,-0.049,-18.200,3.150,134.330
-0.484,0.957,-0.046,-18.690,2.870,136.150
-0.455,0.949,-0.041,-18.970,2.450,137.410
-0.427,0.949,-0.033,-18.550,2.100,139.020
-0.395,0.957,-0.029,-18.130,1.680,140.000
-0.367,0.965,-0.028,-17.570,1.260,140.840
-0.341,0.964,-0.030,-17.360,1.190,141.750
-0.319,0.967,-0.030,-17.220,1.190,141.890
-0.293,0.959,-0.032,-17.430,1.190,140.910
-0.261,0.950,-0.030,-17.640,1.260,139.720
-0.222,0.934,-0.026,-17.430,1.260,138.040
-0.189,0.921,-0.009,-17.220,1.190,135.310
-0.149,0.919,-0.003,-16.100,1.120,132.930
-0.123,0.910,-0.013,-14.910,1.820,130.200
-0.099,0.901,-0.009,-14.350,1.960,127.260
-0.077,0.883,-0.001,-13.230,2.030,121.870
-0.051,0.864,0.005,-11.900,1.960,116.970
-0.021,0.852,0.012,-10.150,2.310,111.510
0.006,0.859,0.021,-8.820,2.100,105.700
0.025,0.882,0.027,-7.770,1.750,100.310
0.040,0.899,0.024,-7.210,1.610,94.080
0.037,0.895,0.020,-7.070,1.120,89.600
0.050,0.884,0.021,-6.720,0.770,84.490
0.068,0.874,0.026,-6.370,-0.140,79.240
0.100,0.872,0.031,-5.740,-0.700,73.570
0.121,0.877,0.027,-4.830,-0.980,66.220
0.129,0.898,0.024,-4.130,-1.260,61.320
0.135,0.914,0.023,-3.990,-1.540,56.770
0.141,0.923,0.020,-3.850,-2.310,52.290
0.154,0.920,0.024,-3.500,-2.800,47.670
0.164,0.912,0.025,-2.520,-3.430,40.810
0.170,0.905,0.030,-0.630,-3.780,35.770
0.173,0.908,0.029,1.050,-4.130,30.590
0.173,0.917,0.024,2.310,-4.480,25.410
