aX,aY,aZ,gX,gY,gZ
0.259,0.834,0.346,2.030,12.880,-15.330
0.252,0.825,0.390,2.100,11.690,-17.990
0.256,0.838,0.468,0.490,7.980,-19.740
0.260,0.852,0.453,-2.940,5.320,-19.950
0.248,0.832,0.451,-3.640,1.610,-23.800
0.227,0.797,0.427,-2.450,-1.470,-27.720
0.228,0.823,0.400,1.680,-4.410,-29.960
0.250,0.901,0.389,5.320,-7.980,-29.120
0.273,0.997,0.343,6.650,-8.960,-25.200
0.279,1.037,0.297,7.490,-8.680,-21.350
0.285,1.059,0.236,9.100,-5.880,-16.100
0.285,1.064,0.203,10.780,-2.730,-12.390
0.287,1.057,0.192,11.270,2.800,-9.030
0.278,1.031,0.221,10.360,5.460,-6.510
0.267,0.985,0.235,11.060,8.050,-5.670
0.287,2.021,0.469,9.170,4.270,54.040
0.392,2.706,0.470,42.840,-5.250,117.110
0.481,3.036,0.476,81.410,-32.760,188.510
0.467,3.305,0.604,106.260,-30.940,268.100
0.395,3.531,0.522,114.800,-37.380,350.490
0.238,3.467,0.406,121.660,-35.700,450.310
0.103,3.496,0.488,124.600,-32.410,529.410
-0.097,3.499,0.665,108.710,-34.510,605.780
-0.470,3.383,0.869,74.830,-42.210,678.510
-0.872,2.818,1.021,53.690,-58.800,735.980
-1.234,1.815,1.141,24.780,-81.760,746.760
-1.399,1.127,1.202,1.890,-107.100,735.910
-1.450,0.513,1.298,-17.500,-152.110,708.610
-1.356,0.063,1.407,-37.660,-196.210,657.930
-1.262,-0.396,1.119,-59.990,-230.020,614.040
-1.152,-0.752,0.887,-72.310,-260.400,560.210
-0.942,-0.857,0.556,-88.760,-281.750,505.260
-0.794,-0.938,0.133,-102.970,-294.420,424.480
-0.644,-1.358,-0.285,-94.080,-297.500,349.300
-0.472,-1.545,-0.961,-72.170,-284.970,278.110
-0.126,-1.579,-1.478,-14.770,-254.380,200.270
0.134,-1.486,-1.874,8.190,-197.260,149.380
0.329,-1.322,-2.026,-5.880,-130.830,107.520
0.563,-1.080,-2.111,-23.870,-32.130,75.950
0.685,-0.941,-1.856,-22.470,25.200,36.820
0.755,-0.752,-1.530,-10.920,66.850,9.870
0.813,-0.590,-1.146,-2.170,111.230,-11.060
0.858,-0.402,-0.820,3.360,137.130,-24.640
0.830,-0.360,-0.327,0.980,146.790,-43.540
0.829,-0.244,0.122,-5.600,143.220,-52.780
0.863,-0.023,0.651,-17.640,118.020,-54.740
0.905,0.047,0.928,-27.860,88.690,-57.960
0.905,-0.061,1.103,-37.240,52.920,-71.610
0.927,-0.186,1.098,-45.500,18.410,-84.070
0.928,-0.222,0.943,-51.380,-15.820,-98.280
0.902,-0.263,0.658,-63.840,-31.150,-115.220
0.910,-0.232,0.403,-74.410,-38.360,-134.750
0.892,-0.254,0.157,-72.170,-39.410,-152.950
0.847,-0.304,-0.096,-62.160,-36.820,-175.140
0.818,-0.324,-0.312,-51.170,-28.420,-205.660
0.798,-0.279,-0.505,-37.590,-13.160,-227.920
0.633,-0.265,-0.700,-34.090,14.070,-251.440
0.698,-0.204,-0.913,-25.970,41.510,-272.510
0.652,-0.090,-1.095,3.920,76.230,-296.870
0.582,-0.065,-1.052,9.660,108.710,-317.450
0.468,0.027,-0.968,8.680,159.460,-334.530
0.363,0.057,-0.638,-15.400,186.340,-354.270
0.252,0.242,-0.412,-59.990,207.900,-383.110
0.132,0.263,-0.224,-86.450,225.330,-396.830
0.130,0.733,-0.253,-69.720,257.740,-386.050
0.164,1.337,0.115,-67.130,264.040,-361.830
0.226,1.836,0.440,-105.210,254.870,-320.460
0.376,1.805,0.548,-107.240,240.240,-287.630
0.468,1.763,0.697,-96.110,207.830,-260.190
0.474,1.653,0.731,-83.860,182.420,-238.280
0.542,1.582,0.681,-60.200,163.380,-214.620
0.560,1.460,0.688,-43.330,146.370,-187.390
0.488,1.240,0.724,-47.880,131.040,-175.980
0.423,1.034,0.844,-54.460,116.550,-169.260
0.373,0.799,0.904,-58.170,102.830,-169.540
0.336,0.506,0.996,-56.490,84.280,-175.070
0.284,0.564,0.941,-49.000,69.230,-180.530
0.245,0.613,0.859,-39.340,57.400,-183.680
0.250,0.792,0.751,-28.490,45.010,-180.810
0.249,0.939,0.688,-0.840,35.420,-172.620
0.282,1.119,0.604,-1.260,28.000,-160.860
0.318,1.334,0.541,10.290,20.930,-142.590
0.377,1.586,0.460,10.850,16.730,-116.830
0.452,1.720,0.396,1.260,17.500,-88.760
0.446,1.671,0.316,-8.960,20.930,-66.010
0.427,1.469,0.283,-13.930,26.390,-44.730
0.387,1.309,0.328,-13.720,29.470,-35.070
0.320,1.128,0.436,-13.580,30.030,-30.310
0.284,0.973,0.531,-15.050,27.650,-29.470
0.255,0.829,0.601,-14.210,22.960,-33.530
0.207,0.717,0.669,-15.820,16.030,-40.460
0.185,0.632,0.647,-12.950,11.130,-47.950
0.182,0.635,0.662,-8.470,2.870,-54.040
0.174,0.655,0.622,-2.450,-3.360,-59.360
0.173,0.721,0.553,10.150,-7.280,-63.910
0.172,0.789,0.496,18.480,-10.780,-65.870
0.177,0.875,0.403,27.930,-10.220,-65.450
0.227,1.077,0.344,30.730,-7.000,-57.330
0.282,1.307,0.338,3.640,-3.150,-37.590
0.287,1.322,0.328,5.110,0.000,-26.180
0.266,1.248,0.277,-0.560,4.410,-16.870
0.248,1.152,0.341,-4.060,8.190,-10.570
0.219,1.040,0.374,-7.980,9.870,-7.980
0.192,0.911,0.432,-11.270,10.010,-8.190
0.164,0.801,0.496,-13.720,8.260,-13.510
0.130,0.734,0.570,-18.410,3.780,-20.090
0.144,0.736,0.572,-22.400,-0.700,-23.520
0.126,0.698,0.503,-21.700,-3.010,-30.590
0.123,0.702,0.457,-13.440,-3.850,-35.070
0.130,0.733,0.469,-3.990,-6.790,-38.360
